title,skills
ibm data analytics excel r,data storytelling interactive_data_visualization_data_visualization_software_data_visualization shiny r_package_data wrangling exploratory_data_analysis_relational database big_data ggplot database_design_data_analysis ibm cognos analytics_data_presentation_data_mining dashboard excel_formulas data_manipulation web scraping microsoft excel
applied data_science,exploratory_data_analysis_data wrangling dashboard_data_visualization_software plotly data_visualization interactive_data_visualization_data_transformation_data_analysis_data_cleansing_data_manipulation jupyter matplotlib data_importexport pandas_python_package predictive_modeling_data_science_python_programming_data_structures machine_learning
data_analysis visualization foundation,data storytelling_data_visualization big_data_data_visualization_software_data_analysis_dashboard ibm cognos analytics statistical_analysis_data_mining apache hadoop tree map excel_formulas data wrangling apache hive data_collection_data mart data_science microsoft excel data_quality_data_cleansing
applied software_engineering fundamental,software_development_life_cycle linux command bash_scripting_language_shell_script software_architecture development_environment git_version_control_system github flask_web_framework unit_testing version_control file_management_engineering_software jupyter unix shell software_design linux application_deployment python_programming_data_structures
ibm darden digital strategy,strategic_thinking digital_transformation_business_strategy cloud_computing_architecture competitive_analysis cloud_services business_transformation cloud_security big_data cloud_platforms data_analysis statistical_analysis cloud_computing generative ai apache hadoop product_lifecycle_management strategic decisionmaking cloud_storage chatgpt data_science
ai foundation everyone,prompt_engineering_chatgpt_generative ai openai workflow_management_machine_learning_application_deployment large_language_modeling ibm cloud artificial_intelligence_program_development natural_language_processing deep_learning business_process_automation automation customer_service content_creation market_opportunities image_analysis_data_science
ibm data_engineering,nosql_data warehousing sql apache hadoop extract_transform_load_apache airflow web scraping linux command database_design ibm cognos analytics mysql apache spark database_administration_data_store jupyter generative ai professional networking python_programming_data_analysis_data_science
key technology business,cloud_computing_architecture_cloud_services cloud_security_data_literacy_data_mining cloud_platforms cloud_computing generative ai cloud_storage infrastructure service_iaas software service big_data emerging_technologies cloudnative_computing data_analysis_data_science chatgpt natural_language_processing market_opportunities business
introduction finance accounting,financial_statement return investment financial_statement_analysis financial_reporting capital budgeting financial_accounting financial_modeling working_capital balance_sheet accrual_accounting_accounting cash_flow income_statement finance financial_analysis tax_planning equity financial_planning corporate_finance_business_valuation
ai business,ai_personalization generative ai_data_ethics tech data_governance big_data machine_learning personally identifiable_information data_security governance_business_strategy human_resources organizational_strategy_customer data_management credit_risk business_transformation artificial_intelligence risk_management_datadriven decisionmaking analytics
data_engineering foundation,sql web scraping_database_design mysql_data_transformation_data_store ibm extract_transform_load relational database jupyter data_architecture_data_pipelines big_data_data warehousing_data_governance_database_management_systems_databases stored_procedure python_programming_data_structures
ibm ai foundation business,data_literacy_data_mining generative ai big_data information_architecture strategic decisionmaking enterprise_architecture_cloud_computing data_analysis_data_science chatgpt digital_transformation_data_strategy_datadriven decisionmaking_business_strategy_business_process_automation_data_architecture natural_language_processing market_opportunities leadership
supervised machine_learning regression classification,supervised_learning jupyter scikit learn_machine_learning_library_machine_learning numpy predictive_modeling feature_engineering artificial_intelligence classification regression_tree_cart python_programming regression_analysis unsupervised_learning statistical_modeling
finance quantitative modeling analyst,return investment financial_reporting capital budgeting financial_statement financial_modeling mathematical_modeling statistical_modeling regression_analysis_business_modeling income_statement financial_analysis_risk_analysis_cash_flows business mathematics financial_planning corporate_finance predictive_analytics spreadsheet_software google sheet microsoft excel
python everybody,web scraping_data_processing relational databases_data_visualization json database_design sql network_protocols web_services restful_api_data_modeling programming_principles application_programming_interface_api_database_systems_database_management extensible markup language xml data_structure data_collection computer_programming python_programming
foundation project_management,project_management_life_cycle change_management organizational_structure_project_management organizational_change program_management_project_closure agile_methodology_project_planning waterfall_methodology strategic_thinking
foundation data_data everywhere,data_ethics_data_analysis_datadriven decisionmaking google sheet spreadsheet_software analytical_skills_data sharing data_cleansing_data_processing_data_visualization_software_data_visualization sql_data_management
ibm data_management,dashboard_data storytelling_data warehousing sql_data_governance_data_visualization_data_security_data_migration_database_design_data_literacy mysql descriptive_statistics extract_transform_load_data_store data_management relational databases_databases_data_architecture excel_formulas business_intelligence
meta fullstack developer,jest javascript testing_framework django web_framework version_control restful_api responsive_web_design unix command html cs git_version_control_system github relational database object oriented_programming_oop database_management_system bootstrap_frontend_framework_reactjs mobile_development sql_database_design api_design linux command python_programming
meta frontend developer,jest javascript testing_framework version_control uiux research_usability_testing responsive_web_design_data_structures unix command html cs git_version_control_system persona_user_experience github interaction_design_user_experience_design bootstrap_frontend_framework_reactjs mobile_development frontend_web_development algorithm javascript cascading_style_sheets_css
generative ai fundamental,prompt_engineering_generative ai chatgpt openai_data_ethics large_language_modeling leadership management_business_leadership strategic_leadership_business_ethics legal_risk ibm cloud tensorflow artificial_intelligence_program_development artificial_neural_networks business_development deep_learning content_creation business_transformation
ibm fullstack javascript developer,istio software_development_life_cycle nodejs kubernetes server side mongodb application_deployment cicd cloudnative_computing react redux nosql software_architecture development_environment restful_api git_version_control_system cascading_style_sheets_css ajax javascript azure devops engineering_software
introduction ai,generative ai artificial_intelligence machine_learning_aiml_machine_learning_software machine_learning innovation data_quality critical_thinking
ibm business analyst,data storytelling requirements_elicitation risk_mitigation_business_analysis_business_process modeling_risk_analysis_project scoping process_optimization_data_visualization requirements_management prompt_engineering_risk_management_business_requirements stakeholder_management work_breakdown_structure stakeholder_engagement excel_formulas microsoft excel business_analytics analysis
business financial_modeling,risk_modeling financial_statement probability_distribution mathematical_modeling statistical_modeling portfolio_management regression_analysis_business_modeling financial_modeling strategic decisionmaking risk_management presentation decision making data_visualization microsoft powerpoint predictive_modeling investment_management spreadsheet_software google sheet microsoft excel
generative ai everyone,prompt_engineering_generative ai large_language_modeling_openai artificial_intelligence_business_process_automation automation ethical_standards conduct machine_learning feasibility_studies cloud_applications
ibm business_intelligence bi analyst,dashboard_data storytelling_data warehousing sql_data_visualization_database_design mysql presentation descriptive_statistics extract_transform_load business_intelligence_data_visualization_software ibm tableau_software excel_formulas data_analysis_data_cleansing_data wrangling_data_mining_data_collection
foundation cybersecurity,cybersecurity_security control cyber_attacks security_management_cyber_security_strategy incident_response cyber_risk security_information event_management_siem information_assurance data_ethics network_analysis ethical_standards conduct
ibm java developer,prompt_engineering_software_development_life_cycle cloudnative_computing hibernate java database_design docker_software_software_architecture containerization development_environment git_version_control_system github cascading_style_sheets_css microservices object oriented_programming_oop restful_api java programming engineering_software version_control database_management_software_design
generative ai growth marketing,large_language_modeling artificial_intelligence_business_ethics content_creation ibm cloud_image_analysis virtual_environment
generative ai digital_marketing,prompt_engineering_chatgpt_generative ai digital_advertising email_marketing openai digital_marketing_marketing automation ai_personalization marketing_analytics advertising_campaign marketing_marketing_strategies content_creation keyword research large_language_modeling social_media_marketing artificial_intelligence search_engine_optimization ibm cloud
ibm backend javascript developer,istio software_development_life_cycle nodejs containerization kubernetes server side mongodb application_deployment cloudnative_computing nosql software_architecture development_environment restful_api openshift git_version_control_system cascading_style_sheets_css ajax javascript azure devops engineering_software
generative ai business analyst,prompt_engineering_chatgpt_generative ai business_analysis_datadriven decisionmaking_data_analysis openai artificial_intelligence_business_process_automation stakeholder_communications_business_requirements requirements_elicitation large_language_modeling program_development workflow_management_business_strategy process_optimization content_creation ibm cloud_image_analysis
generative ai educator,prompt_engineering_chatgpt_generative ai ai_personalization data_ethics_openai education_software technology large_language_modeling artificial_intelligence_program_development ethical_standards conduct content_creation information_privacy ibm cloud_image_analysis emerging_technologies virtual_environment diversity_awareness data_security
ibm io android mobile app developer,react native prompt_engineering_software_development_life_cycle flutter software swift programming apple xcode mobile_development android studio user centered_design android development apple io react redux software_architecture development_environment git_version_control_system github reactjs cascading_style_sheets_css android operating system ai_personalization
ibm frontend developer,bootstrap_frontend_framework software_development_life_cycle user centered_design cloudnative_computing react redux software_architecture development_environment nosql git_version_control_system github webpack application_development mongodb reactjs cascading_style_sheets_css agile_methodology frontend_web_development browser compatibility html cs engineering_software
financial_markets,investment banking risk_management financial_market financial_regulation financial_services finance_business_risk_management securities_finance financial policy enterprise_risk_management erm capital_markets behavioral_economics banking corporate_finance governance investment insurance underwriting derivative market_dynamics
meta social_media_marketing,paid_media social_media_marketing social_media_management social_media_marketing_analytics target_audience marketing budget social_media_strategy social_media_campaigns instagram content_creation campaign_management_marketing_effectiveness marketing performance_analysis key_performance_indicators kpis goal setting presentation brand_management digital_marketing
ai agent developer,prompt_engineering_chatgpt_generative ai_agents generative ai ideation_verification validation_data_validation_data_presentation productivity ai_personalization document_management agentic_systems artificial_intelligence personalized_service large_language_modeling_openai risk_management_framework expense_management microsoft excel software_development
start writing prompt like pro,prompt_engineering
ibm isc cybersecurity specialist,software_development_life_cycle computing platform network_security_incident_response cloud_computing_architecture penetration_testing_computer_security_incident_management_cloud_services business_continuity disaster_recovery security control peripheral_device configuration_management_cybersecurity governance cloud_security_network_protocols application_security_information_technology cryptography
ibm project manager,user_story software_development_life_cycle_stakeholder_engagement_project_management_life_cycle resource_management peer_review agile_software_development earned_value_management_software_architecture development_environment stakeholder_management agile_methodology_project_risk_management_project_management information_technology risk_management_sprint_retrospectives interviewing_skills leadership_communication
intuit academy bookkeeping,reconciliation financial_statement financial_statement_analysis inventory_accounting payroll bookkeeping quickbooks accounting_software payroll administration inventory control payroll processing income_statement_balance_sheet depreciation fixed_asset payroll_tax property accounting_accounting_software financial_analysis sale tax financial_accounting
technical_support fundamental,desktop_support computer_hardware technical_support software_installation help desk support technical_documentation hardware troubleshooting software_documentation customer_support end user training support computer networking information_technology computer_architecture technical_communication linux microsoft window
agentic ai ai_agents leader,prompt_engineering_chatgpt_generative ai_agents generative ai workflow_management agentic_systems productivity artificial_intelligence_artificial_intelligence machine_learning_aiml ai_personalization business_process_automation personalized_service large_language_modeling automation business_transformation expense_management creative_thinking_ingenuity technology_strategies productivity_software
foundation digital_marketing ecommerce,data storytelling performance_measurement search_engine_marketing_content_performance_analysis_datadriven decisionmaking search_engine_optimization branding web_analytics seo business_metrics marketing_strategy technique digital_marketing customer_engagement customer_experience_strategy digital_advertising_marketing ecommerce email_marketing_brand_awareness marketing_analytics target_audience
ai_agents agentic ai python powered generative ai,prompt_engineering_chatgpt_generative ai_agents productivity agentic_systems generative ai artificial_intelligence large_language_modeling_openai creative_thinking_ingenuity_brainstorming software_development_tools application_development prototyping persona_user_experience business_logic application_programming_interface_api transaction_processing interoperability
generative ai strategic leader,prompt_engineering_chatgpt_generative ai_agents generative ai workflow_management_productivity artificial_intelligence_artificial_intelligence machine_learning_aiml business_process_automation agentic_systems strategic decisionmaking_business_intelligence_business_leadership datadriven decisionmaking organizational_leadership automation strategic_planning talent_acquisition procurement planning
ibm scrum master,user_story software_development_life_cycle sprint_retrospectives agile_software_development_software_architecture development_environment kanban_principles devops backlog engineering_software scrum_software_development information_technology agile_project_management_software_design_computer_hardware agile_methodology sprint_planning leadership risk_management_communication
maximize productivity ai tool,business workflow analysis generative ai process_optimization productivity_software prompt_engineering operational_efficiency complex_problem solving
generative ai assistant,prompt_engineering_chatgpt_generative ai ideation_verification validation_data_validation productivity ai_personalization artificial_intelligence personalized_service large_language_modeling_risk_management_framework expense_management creative_thinking_ingenuity productivity_software brainstorming data_ethics travel arrangement innovation
generative ai automation,prompt_engineering_chatgpt_ideation_verification validation_data_validation_data_presentation productivity generative ai document_management_data_synthesis image_analysis_data capture artificial_intelligence openai large_language_modeling_data_analysis organizational_skills risk_management_framework computer_vision microsoft excel
ibm product owner,user_story sprint_retrospectives backlog agile_product_development agile_software_development stakeholder_communications agile_methodology kanban_principles generative ai product roadmaps virtual_teams information_technology agile_project_management computer_hardware product_strategy chatgpt stakeholder_management_sprint_planning product_management_market_intelligence
prompt_engineering,prompt_engineering_chatgpt_ideation_verification validation_data_validation_data_presentation productivity document_management_generative ai artificial_intelligence large_language_modeling_risk_management_framework microsoft excel creative_thinking_ingenuity_brainstorming problem solving_data_ethics_data_analysis information_management
deeplearningai_data analytics,data storytelling web scraping google sheet data_visualization_data_presentation spreadsheet_software large_language_modeling tableau_software_data_literacy dashboard linkedin pandas_python_package time_series_analysis forecasting probability_statistics extract_transform_load statistical_analysis statistics_data_analysis_data_validation descriptive_statistics
generative ai_data analyst,data storytelling prompt_engineering_data_presentation chatgpt data_synthesis microsoft excel productivity infographics document_management_data_analysis sql generative ai artificial_intelligence_data_visualization_data_cleansing large_language_modeling_data_importexport statistical_reporting_data_integration_databases
chatgpt master free ai tool supercharge productivity,prompt_engineering_chatgpt_generative ai productivity ai_personalization artificial_intelligence personalized_service large_language_modeling expense_management creative_thinking_ingenuity productivity_software brainstorming travel arrangement innovation scenario_testing problem solving communication_planning marketing
generative ai leadership strategy,prompt_engineering_chatgpt_ideation_verification validation_data_validation succession planning productivity business_writing generative ai leadership meeting_facilitation organizational_leadership artificial_intelligence large_language_modeling_business_leadership proposal writing leadership management creativity problem solving risk_management
generative ai cybersecurity privacy leader,prompt_engineering_chatgpt_generative ai crisis_management_productivity incident_response ai_personalization artificial_intelligence personalized_service large_language_modeling_business_ethics information_privacy personally identifiable_information crossfunctional_collaboration threat_detection expense_management contingency planning creative_thinking_ingenuity cybersecurity
prompt_engineering law,prompt_engineering_chatgpt_generative ai productivity ai_personalization law practice management_software artificial_intelligence personalized_service large_language_modeling legal_writing legal_research_data_ethics expense_management creative_thinking_ingenuity productivity_software legal support brainstorming travel arrangement innovation
chatgpt excel personal automation gpts ai zapier,generative ai_agents prompt_engineering_chatgpt_generative ai agentic_systems productivity ai_personalization expense_management artificial_intelligence openai personalized_service expense report large_language_modeling workflow_management google workspace creative_thinking_ingenuity productivity_software brainstorming automation
chatgpt excel aienhanced data_analysis insight,data storytelling prompt_engineering_data_presentation chatgpt excel macro excel_formulas data_synthesis microsoft excel productivity infographics_data_visualization spreadsheet_software_data_analysis generative ai artificial_intelligence_data_cleansing large_language_modeling interactive_data_visualization_data_importexport statistical_reporting
introduction psychology,psychology mental behavioral_health_specialties child_development mental_health human learning social_science behavioral_health neurology biology critical_thinking scientific_method problem solving
ibm product manager,user_story usability_testing new_product_development_product_management_product_lifecycle_management_product_development_innovation agile_software_development_product roadmaps agile_methodology kanban_principles backlog product planning sprint_retrospectives agile_project_management_product_strategy product_testing project_management_life_cycle_stakeholder_engagement leadership
prompt_engineering educator,prompt_engineering_chatgpt productivity creative problemsolving generative ai ai_personalization data_synthesis image_analysis_data capture artificial_intelligence innovation brainstorming openai large_language_modeling game_design_data_analysis organizational_skills education_software technology computer_vision data storytelling
generative ai chatgpt educator,prompt_engineering_chatgpt productivity creative problemsolving generative ai ai_personalization creative_thinking artificial_intelligence innovation brainstorming large_language_modeling game_design creativity education_software technology technical_communication ingenuity student_engagement resourcefulness interactive_design problem solving
master microsoft office power platform,microsoft power platform microsoft copilot prompt_engineering microsoft power automateflow power bi microsoft multimedia microsoft powerpoint dashboard microsoft excel excel_formulas microsoft word data_visualization spreadsheet_software microsoft outlook data_integration productivity_software_data_analysis_expressions dax presentations_data_analysis
generative ai professional,prompt_engineering_chatgpt_generative ai productivity artificial_intelligence large_language_modeling human_resources_management_training development employee_performance_management_performance review professional_development policy_development new hire orientation communication_communication_planning human_development recruitment interviewing_skills talent recruitment policy_analysis
chatgpt project_management leveraging ai success,prompt_engineering_chatgpt large_language_modeling productivity project_planning generative ai risk_analysis milestones_project_management timeline project_risk_management_project_schedules_project_management artificial_intelligence workflow_management_project_implementation key_performance_indicators kpis project_documentation taking_meeting minute business_metrics creative_thinking
meta web_development fundamental,django web_framework responsive_web_design html cs backend web_development relational database object oriented_programming_oop database_management_system bootstrap_frontend_framework sql_database_design_databases frontend_web_development_database_administration unit_testing mysql debugging web_development_computer_programming pseudocode communication
ask question make datadriven decision,spreadsheet_software stakeholder_communications dashboard_datadriven decisionmaking_data_analysis analytical_skills_data_presentation business_analysis expectation management quantitative_research problem solving
microsoft fundamental,multimedia microsoft powerpoint microsoft excel excel_formulas microsoft word microsoft data_visualization presentation spreadsheet_software_data_analysis_expressions dax productivity_software collaborative_software_data_importexport microsoft window proofreading editing document_management technical_documentation writing data_entry
excel skill business,microsoft excel dashboard excel_formulas spreadsheet_software_data_visualization excel macro data_validation_data_analysis_expressions dax data_cleansing_data_modeling financial_forecasting workflow_management finance data_management_business_intelligence_software consolidation data_integrity_data_entry business reporting productivity_software
meta react native,react native jest javascript testing_framework version_control uiux research_usability_testing unix command restful_api git_version_control_system persona_user_experience github interaction_design_user_experience_design sql user_interface user_experience uiux design_user_interface_ui user_experience mobile_development design_research reactjs javascript
chatgpt zapier aipowered email mastery,prompt_engineering_chatgpt productivity calendar management organizational_skills gmail generative ai artificial_intelligence large_language_modeling hubspot crm business_process_automation email_marketing google sheet workflow_management google workspace data_integration automation creative_thinking_ingenuity_brainstorming
ai_agents java generative ai,prompt_engineering_chatgpt_generative ai_agents productivity java agentic_systems openai generative ai artificial_intelligence large_language_modeling creative_thinking_ingenuity_brainstorming secure coding application_development_business_logic problem solving software_design_documents collaborative_software persona development
project initiation starting successful project,project scoping_project_documentation_project_management_life_cycle_project_management goal setting project_management_software stakeholder_management_cost_benefit_analysis_resource_management accountability strategic_thinking_business_writing
play safe manage security_risks,threat_management_cybersecurity_risk_management_framework risk_management_business_risk_management_incident_response vulnerability_management_security_information event_management_siem security control continuous_monitoring information_systems_security enterprise_security_risk_analysis threat_detection information_assurance open_web_application_security_project_owasp auditing
microsoft ai product manager,competitive_analysis_market_research_user_story product roadmaps competitive_intelligence usability persona development_product_development market_analysis new_product_development_product_management design_thinking_user_interface_ui design market_opportunities business_research product_lifecycle_management_quality_assurance control product quality qaqc product_strategy_data_analysis
business_analytics,people analytics_datadriven decisionmaking_business_analytics descriptive analytics_business_intelligence human_resource_strategy financial_data marketing_analytics talent_management financial_analysis predictive_analytics peer_review_data_analysis financial_statement_analysis_analytics financial_forecasting customer_insights workforce planning demand planning customer_analysis
discover art prompting,prompt_engineering large_language_modeling technical_writing content_creation
foundation user_experience ux design,user_research_user_experience_design_design_thinking_user centered_design_usability persona_user_experience usability_testing web_content_accessibility_guidelines wireframing prototyping sprint_retrospectives sprint_planning
ibm cybersecurity analyst,cyber_threat hunting incident_response service_management identity access_management_cloud_computing information_technology infrastructure library endpoint_security malware_protection penetration_testing linux computer_security_incident_management_database_management_network_security_networking_hardware tcpip cybersecurity intrusion_detection prevention cyber_threat_intelligence interviewing_skills cyber_security_assessment
sap technology consultant,digital_transformation cloud_computing_architecture stakeholder_engagement consulting systems_design relationship_management_business consulting cloud_computing technical_design solution_design_user feedback product_strategy technical consulting customer_engagement cybersecurity system_implementation professional networking project_management sap application test_planning
advanced learning_algorithms,classification regression_tree_cart machine_learning_algorithms_machine_learning applied_machine_learning_data_ethics decision_tree learning_tensorflow artificial_intelligence supervised_learning deep_learning random_forest algorithm artificial_neural_networks performance_tuning
accelerate job search ai,interviewing_skills applicant_tracking_systems professional_development generative ai prompt_engineering personal attribute problem solving communication
generative ai leader,prompt_engineering_generative ai_agents generative ai google cloud platform google workspace data_management_productivity_software cloud solution unstructured_data large_language_modeling workflow_management_data_governance strategic_thinking cloud_infrastructure information_privacy cloud_computing innovation artificial_intelligence organizational_strategy collaboration
generative ai software_development,prompt_engineering large_language_modeling_database_design_software_documentation software_design_patterns database_systems collaborative_software_software_testing chatgpt technical_documentation generative ai code_review software_architecture_api_design system_design implementation dependency_analysis artificial_intelligence_software_engineering_software_development machine_learning
adobe graphic_designer,adobe illustrator adobe photoshop visual_design graphic_design generative ai logo design_user_experience_design_user_interface user_experience uiux design digital_design_content_creation file_management design_reviews project_design prompt_engineering image_analysis presentation client_services marketing_design branding storytelling
bi foundation sql etl data warehousing,data warehousing sql extract_transform_load_apache airflow linux command ibm cognos analytics_data_pipelines apache kafka bash_scripting_language_shell_script data_visualization dashboard file_management star schema unix shell ibm business_intelligence_databases stored_procedure relational database
design prompt everyday work task,prompt_engineering brainstorming timeline taking_meeting minute concision business_writing document_management_project_schedules text_mining
arizona state university tesol,oral_comprehension learning_management_systems education_software technology language_competency pedagogy literacy learning_strategies instructional_strategies enthusiasm motivational skill oral_expression teaching learning_styles technology_strategies grammar language learning english_language design_elements principle selfawareness goal setting
meta android developer,react native android studio restful_api version_control uiux research_usability_testing git_version_control_system data_structure jest javascript testing_framework unix command android jetpack android development persona_user_experience github interaction_design kotlin user_experience_design_user_interface user_experience uiux design mobile_development_javascript
meta io developer,react native io development core data_software restful_api version_control apple io uiux research_usability_testing apple xcode data_structure swift programming jest javascript testing_framework user_interface_ui unix command git_version_control_system persona_user_experience github interaction_design mobile_development_javascript
meta backend developer,django web_framework fullstack_web_development version_control restful_api_data_structures unix command bootstrap_frontend_framework git_version_control_system backend web_development github web_design development relational database frontend_web_development object oriented_programming_oop database_management_system sql_database_design python_programming_computer_programming cloud hosting
foundation positive psychology,resilience goal setting emotional_intelligence positivity personal_development optimism research_methodologies overcoming_obstacles research_design empathy productivity positive_behavior support cognitive_flexibility relationship_building selfawareness qualitative_research_research_psychology selfmotivation persistence
hrci human_resource associate,talent_acquisition training development compensation benefit training_program recruitment employee_training full cycle recruitment job_analysis employee_performance_management compensation_management_performance appraisal job evaluation developing training material compensation strategy performance_management human_resource policy employee relation occupational safety health business_continuity planning_risk_management
use ai responsibly,data_security analysis generative ai critical_thinking
adobe content creator,content_creation visual_design_web_content graphic_design generative ai social_media creative_design social_media_management adobe photoshop logo design intellectual_property typography user_experience_design_user_interface user_experience uiux design_color_theory content_marketing_content_strategy infographics storytelling branding
adobe marketing specialist,promotional_strategies social_media content digital_marketing crosschannel marketing visual_design_content_marketing graphic_design_design target_audience web_content_accessibility_guidelines generative ai graphic visual_design_marketing_strategies campaign_management_content_creation social_media_marketing data_ethics content_strategy advertising market_research
ibm support,software_development_life_cycle computing platform cloud_computing_architecture technical_support technical_support service cloud_services peripheral_device cybersecurity hardware troubleshooting service_management_cloud_security_cloud_applications desktop_support cloud_platforms network_protocols cyber_attacks cloud_computing professional networking information_technology customer_service
