title,organization,rating,review_count,difficulty,course_type,duration,skills,url,is_free,course_id
IBM Data Analyst,IBM,4.634504623798295,92889,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Exploratory Data Analysis, Data Storytelling, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, SQL, Generative AI, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Big Data, IBM Cognos Analytics, Excel Formulas, Professional Networking, Data Import/Export, Microsoft Excel, Python Programming",/professional-certificates/ibm-data-analyst,False,s12n~7qRy6fOWEeqIvgrCa-MVgQ
IBM Data Science,IBM,4.615356168367981,144398,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Supervised Learning, Data Transformation, Feature Engineering, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Generative AI, Professional Networking, Data Import/Export",/professional-certificates/ibm-data-science,False,s12n~dwzq23ZLEei12goo904QNg
IBM Generative AI Engineering,IBM,4.644298537797098,88565,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Exploratory Data Analysis, Prompt Engineering, Data Wrangling, Large Language Modeling, Unsupervised Learning, PyTorch (Machine Learning Library), Generative AI, Restful API, ChatGPT, Supervised Learning, Keras (Neural Network Library), Data Transformation, Feature Engineering, Flask (Web Framework), Data Analysis, Data Cleansing, Data Manipulation, Deep Learning, Application Deployment, Data Import/Export",/professional-certificates/ibm-generative-ai-engineering,False,s12n~FKdStbCPR16Ga6G64hBdFg
IBM AI Developer,IBM,4.6414369068541275,71125,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Prompt Engineering, Software Development Life Cycle, Large Language Modeling, Restful API, Software Architecture, ChatGPT, Development Environment, Flask (Web Framework), Generative AI, Cascading Style Sheets (CSS), Application Deployment, Bootstrap (Front-End Framework), Software Design, Software Development Tools, Software Engineering, Data Import/Export, Python Programming, Engineering Software, Machine Learning, Data Science",/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,False,s12n~WvWoOoMoEembCA7TjU2XTA
AI in Healthcare,Stanford University,4.719805645534475,2161,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Feature Engineering, Healthcare Ethics, Pharmaceuticals, Data Ethics, Clinical Research, Health Systems, Healthcare Industry Knowledge, Medical Records, Unstructured Data, Health Care, Health Informatics, Data Mining, Clinical Data Management, Statistical Machine Learning, Applied Machine Learning, Electronic Medical Record, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Artificial Intelligence, Health Technology",/specializations/ai-healthcare,False,s12n~68fXxAJgEeqJHxKP6A-i8w
Data Science Foundations,"University of London, IBM, IBM",4.621004731152481,113503,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Dashboard, Pseudocode, Jupyter, Algorithms, Data Literacy, Data Mining, Pandas (Python Package), Data Visualization Software, Correlation Analysis, Web Scraping, NumPy, Data Import/Export, Programming Principles, Predictive Modeling, Computer Programming Tools, Data Science, Machine Learning Algorithms, Unsupervised Learning, Machine Learning, Project Management",/specializations/data-science-foundations,False,s12n~peHrosLQQY6iMw-W3HCQzg
IBM Full Stack Software Developer,IBM,4.60106955697448,55911,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Prompt Engineering, Istio, Software Development Life Cycle, Node.JS, Kubernetes, Cloud Computing Architecture, Server Side, Application Deployment, React Redux, Cloud Services, Restful API, Django (Web Framework), Software Architecture, Object-Relational Mapping, Git (Version Control System), Full-Stack Web Development, Cascading Style Sheets (CSS), Cloud Computing, Data Import/Export, Engineering Software",/professional-certificates/ibm-full-stack-cloud-developer,False,s12n~PaymLStoEeuBuBIWkmAWww
IBM AI Product Manager,"IBM, SkillUp EdTech",4.698794658967883,27710,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Prompt Engineering, Generative AI, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Product Roadmaps, ChatGPT, Product Planning, Commercialization, Artificial Intelligence, Product Strategy, Project Management Life Cycle, OpenAI, Stakeholder Engagement, Stakeholder Management, Competitive Analysis, Product Testing, Business Development",/professional-certificates/ibm-ai-product-manager,False,s12n~dVxvpVBzSI2qpyGsH77oMQ
IBM DevOps and Software Engineering,IBM,4.625666402744786,60624,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"User Story, CI/CD, Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Continuous Integration, Linux Commands, Kubernetes, Cloud Computing Architecture, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Jenkins, Restful API, DevOps, Git (Version Control System), Grafana, Software Engineering, Data Import/Export, Application Development",/professional-certificates/devops-and-software-engineering,False,s12n~kxXLY1kfEey5Tg6Gr7s2bQ
Data Science Fundamentals with Python and SQL,IBM,4.564619822218524,72111,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Dashboard, SQL, Descriptive Statistics, Jupyter, Statistical Analysis, Data Analysis, Probability Distribution, Pandas (Python Package), Data Visualization Software, Statistics, Data Visualization, Databases, Stored Procedure, Data Import/Export, Data Science, Programming Principles, Computer Programming Tools, Data Analysis Software, Web Scraping, Python Programming",/specializations/data-science-fundamentals-python-sql,False,s12n~kuGzQBrlEeuKTA7v2iL8uQ
Business Foundations,University of Pennsylvania,4.705895383180476,25732,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Operations Management, Return On Investment, Operational Efficiency, Financial Statements, Financial Statement Analysis, Finance, Human Capital, Go To Market Strategy, Process Analysis, Branding, Process Management, People Management, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Marketing, Marketing Planning, Peer Review, Corporate Finance",/specializations/wharton-business-foundations,False,s12n~AQ719YHLEeWWVhJkLv2LYQ
IBM Data Analytics with Excel and R,IBM,4.732211255411257,28875,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Data Storytelling, Interactive Data Visualization, Data Visualization Software, Data Visualization, Shiny (R Package), Data Wrangling, Exploratory Data Analysis, Relational Databases, Big Data, Ggplot2, Database Design, Data Analysis, IBM Cognos Analytics, Data Presentation, Data Mining, Dashboard, Excel Formulas, Data Manipulation, Web Scraping, Microsoft Excel",/professional-certificates/ibm-data-analyst-r-excel,False,s12n~QQGg65luEeugtw5wj3v7iQ
IBM Back-End Development,IBM,4.604357338195078,49365,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Istio, Open Web Application Security Project (OWASP), Software Development Life Cycle, Linux Commands, Kubernetes, Application Deployment, NoSQL, Bash (Scripting Language), MongoDB, Restful API, Shell Script, Django (Web Framework), Software Architecture, Object-Relational Mapping, Development Environment, Git (Version Control System), Grafana, Microservices, Data Import/Export, Python Programming",/professional-certificates/ibm-backend-development,False,s12n~PfbRUmwSEe25uA4dnx38NQ
Applied Data Science,IBM,4.587905689842478,58912,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Data Manipulation, Matplotlib, Pandas (Python Package), Predictive Modeling, Data Science, Data Import/Export, Programming Principles, Web Scraping, Python Programming, Machine Learning",/specializations/applied-data-science,False,s12n~gw6NIUimEeiedgp7b7p1Ig
Introduction to Data Science,IBM,4.633753708452762,99435,Beginner,Specialization,THREE_TO_SIX_MONTHS,"SQL, Jupyter, Data Literacy, Data Mining, Peer Review, Data Modeling, Databases, Stored Procedure, Relational Databases, Database Design, Query Languages, Data Science, Database Management, Big Data, Computer Programming Tools, Data Analysis Software, Data Cleansing, Software Development Tools, Cloud Computing, Python Programming",/specializations/introduction-data-science,False,s12n~_Fk2Gi3cEeiHghIydZ_0lA
Microsoft Power BI Data Analyst,Microsoft,4.639886528565771,7579,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Power BI, Microsoft Excel, Data Analysis, Data Visualization, Data Storage, Data Collection, Data Quality, Business Intelligence, Microsoft Power Platform, Advanced Analytics, Database Design, Statistical Reporting, Statistical Visualization, Analytical Skills, Data Integration, Data Storage Technologies, SQL, Microsoft SQL Servers, Data Security, Productivity Software",/professional-certificates/microsoft-power-bi-data-analyst,False,s12n~nF9rQ0oBQhy5Bfv-kRFZjg
Data Analysis and Visualization Foundations,IBM,4.739551302727308,27903,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Data Storytelling, Data Visualization, Big Data, Data Visualization Software, Data Analysis, Dashboard, IBM Cognos Analytics, Statistical Analysis, Data Mining, Apache Hadoop, Tree Maps, Excel Formulas, Data Wrangling, Apache Hive, Data Collection, Data Mart, Data Science, Microsoft Excel, Data Quality, Data Cleansing",/specializations/data-analysis-visualization-foundations,False,s12n~zjWaXRMhEeudwgrn4wF8EQ
Applied Software Engineering Fundamentals,IBM,4.609542198691996,48165,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Software Development Life Cycle, Linux Commands, Bash (Scripting Language), Restful API, Shell Script, Software Architecture, Development Environment, Git (Version Control System), GitHub, Flask (Web Framework), Version Control, File Management, Engineering Software, Unix Shell, Application Deployment, Linux, Data Import/Export, Programming Principles, Web Scraping, Python Programming",/specializations/software-engineering-fundamentals,False,s12n~7ERwSQnXEe23EhLnQryuGw
IBM & Darden Digital Strategy,"IBM, University of Virginia Darden School Foundation",4.710066035276739,46036,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Strategic Thinking, Digital Transformation, Business Strategy, Cloud Computing Architecture, Competitive Analysis, Cloud Services, Business Transformation, Cloud Security, Big Data, Cloud Platforms, Data Analysis, Statistical Analysis, Cloud Computing, Apache Hadoop, Product Lifecycle Management, Strategic Decision-Making, Cloud Storage, Generative AI, ChatGPT, Data Science",/specializations/digital-strategy,False,s12n~lEbibxe6EemaCA6FO7suWg
AI Foundations for Everyone,IBM,4.705602918990985,28503,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Prompt Engineering, ChatGPT, Generative AI, OpenAI, Workflow Management, Natural Language Processing, Data Governance, Application Deployment, Large Language Modeling, Computer Science, IBM Cloud, Machine Learning, Artificial Intelligence, Program Development, Deep Learning, Business Intelligence, Business Ethics, Business Process Automation, Robotic Process Automation, Data Science",/specializations/ai-foundations-for-everyone,False,s12n~5w9v9Jd_EemkYApdOSqZTg
IBM Data Engineering,IBM,4.6126162131039266,59051,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Apache Spark, Database Administration, Data Store, Generative AI, Professional Networking, Data Import/Export, Python Programming, Data Analysis, Data Science",/professional-certificates/ibm-data-engineer,False,s12n~4ZGJDStjEeupVg7HH9ybXQ
Key Technologies for Business,IBM,4.686827673798105,101569,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Cloud Computing Architecture, Cloud Services, Cloud Security, Data Literacy, Data Mining, Cloud Platforms, Cloud Computing, Cloud Storage, Generative AI, Infrastructure As A Service (IaaS), Software As A Service, Big Data, Emerging Technologies, ChatGPT, Data Analysis, Data Science, Natural Language Processing, Data Governance, Computer Science, Business",/specializations/key-technologies-for-business,False,s12n~mF13zqpxEeqDdgqb325wdw
Introduction to Finance and Accounting,University of Pennsylvania,4.627656193571686,13845,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Financial Statements, Return On Investment, Financial Statement Analysis, Financial Reporting, Capital Budgeting, Financial Accounting, Financial Modeling, Working Capital, Balance Sheet, Accrual Accounting, Accounting, Cash Flows, Income Statement, Finance, Financial Analysis, Tax Planning, Equities, Financial Planning, Corporate Finance, Business Valuation",/specializations/finance-accounting,False,s12n~XvFLWP2uEeqmKw5GnbMYDw
AI For Business,University of Pennsylvania,4.735724431818182,1408,Beginner,Specialization,THREE_TO_SIX_MONTHS,"AI Personalization, Generative AI, Data Ethics, HR Tech, Data Governance, Big Data, Machine Learning, Personally Identifiable Information, Data Security, Governance, Business Strategy, Human Resources, Organizational Strategy, Customer Data Management, Credit Risk, Business Transformation, Artificial Intelligence, Risk Management, Data-Driven Decision-Making, Analytics",/specializations/ai-for-business-wharton,False,s12n~Wh6nmdkOEeuYJQ5ZkEJmKQ
Data Engineering Foundations,IBM,4.616053835327234,56840,Beginner,Specialization,THREE_TO_SIX_MONTHS,"SQL, Web Scraping, Database Design, MySQL, Data Transformation, Data Store, IBM DB2, Extract, Transform, Load, Relational Databases, Data Architecture, Data Pipelines, Big Data, Data Warehousing, Data Governance, Database Management Systems, Databases, Stored Procedure, Data Import/Export, Programming Principles, Python Programming",/specializations/data-engineering-foundations,False,s12n~aDZV7StjEeu8FgroulzDIw
IBM AI Foundations for Business,"IBM, IBM",4.692114272471582,94931,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Data Literacy, Data Mining, Generative AI, Big Data, Information Architecture, Strategic Decision-Making, ChatGPT, Enterprise Architecture, Cloud Computing, Data Analysis, Data Science, Digital Transformation, Natural Language Processing, Data Strategy, Data-Driven Decision-Making, Business Strategy, Data Architecture, Data Governance, Computer Science, Leadership",/specializations/ibm-ai-foundations-for-business,False,s12n~zn_b0Y_lEeqE2Q5NANyNFw
Supervised Machine Learning: Regression and Classification ,"DeepLearning.AI, Stanford University",4.898466838931955,29025,Beginner,Course,ONE_TO_FOUR_WEEKS,"Supervised Learning, Jupyter, Scikit Learn (Machine Learning Library), Machine Learning, NumPy, Predictive Modeling, Feature Engineering, Artificial Intelligence, Classification And Regression Tree (CART), Python Programming, Regression Analysis, Unsupervised Learning, Statistical Modeling",/learn/machine-learning,False,course~T7hf5jWeEeuGCBL8_hyTUQ
Python for Everybody,University of Michigan,4.816353523535237,277775,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Web Scraping, Data Processing, Relational Databases, Data Visualization, JSON, Database Design, SQL, Network Protocols, Web Services, Restful API, Data Modeling, Programming Principles, Application Programming Interface (API), Database Systems, Database Management, Extensible Markup Language (XML), Data Structures, Data Collection, Computer Programming, Python Programming",/specializations/python,False,s12n~F-h1g0w7EeWeOApO_l5R1w
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.532618876080692,16656,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Return On Investment, Financial Reporting, Capital Budgeting, Financial Statements, Financial Modeling, Mathematical Modeling, Statistical Modeling, Regression Analysis, Business Modeling, Income Statement, Financial Analysis, Risk Analysis, Cash Flows, Business Mathematics, Financial Planning, Corporate Finance, Predictive Analytics, Spreadsheet Software, Google Sheets, Microsoft Excel",/specializations/finance-quantitative-modeling-analysts,False,s12n~GM-5z8kaEembiRJiedmGqA
Foundations of Project Management,Google,4.862438901855709,95543,Beginner,Course,ONE_TO_FOUR_WEEKS,"Project Management Life Cycle, Change Management, Organizational Structure, Project Management, Organizational Change, Program Management, Project Closure, Agile Methodology, Project Planning, Waterfall Methodology, Strategic Thinking",/learn/project-management-foundations,False,course~fxgoIcbTEeqZOA5eKDHL-w
"Foundations: Data, Data, Everywhere",Google,4.802942626566677,115611,Beginner,Course,ONE_TO_FOUR_WEEKS,"Data Ethics, Data Analysis, Data-Driven Decision-Making, Google Sheets, Spreadsheet Software, Analytical Skills, Data Sharing, Data Cleansing, Data Processing, Data Visualization Software, Data Visualization, SQL, Data Management",/learn/foundations-data,False,course~kvb6uMbTEeqZOA5eKDHL-w
IBM Data Management,"IBM, SkillUp EdTech",4.719663617586308,16945,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Dashboard, Data Storytelling, Data Warehousing, SQL, Data Governance, Data Visualization, Data Security, Data Migration, Database Design, Data Literacy, MySQL, Descriptive Statistics, Extract, Transform, Load, Data Store, Data Management, Relational Databases, Databases, Data Architecture, Excel Formulas, Business Intelligence",/professional-certificates/ibm-data-manager,False,s12n~QQ5c1Vt_TuSo7yidEbTkPw
Meta Full-Stack Developer,Meta,4.688562478835084,23624,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Jest (JavaScript Testing Framework), Django (Web Framework), Version Control, Restful API, Responsive Web Design, Unix Commands, HTML and CSS, Git (Version Control System), GitHub, Relational Databases, Object Oriented Programming (OOP), Database Management Systems, Bootstrap (Front-End Framework), React.js, Mobile Development, SQL, Database Design, API Design, Linux Commands, Python Programming",/specializations/meta-full-stack-developer,False,s12n~JlxJAk26SC-XRTs8e7k0eQ
Meta Front-End Developer,Meta,4.691486246672584,22540,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript, Cascading Style Sheets (CSS)",/professional-certificates/meta-front-end-developer,False,s12n~KPSzVL9AEeyfhAreTccY9Q
IBM Business Analyst,"IBM, SkillUp EdTech",4.732095469890869,12737,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Data Storytelling, Requirements Elicitation, Risk Mitigation, Business Analysis, Business Process Modeling, Risk Analysis, Process Mapping, Process Optimization, Data Visualization, Requirements Management, Prompt Engineering, Risk Management, Business Requirements, Stakeholder Management, Work Breakdown Structure, Stakeholder Engagement, Excel Formulas, Microsoft Excel, Business Analytics, Analysis",/professional-certificates/ibm-business-analyst-professional-certificate,False,s12n~HIn2o-RMQnC791z_YC-7IA
IBM Business Intelligence (BI) Analyst,"IBM, SkillUp EdTech",4.717038026288043,14227,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Dashboard, Data Storytelling, Data Warehousing, SQL, Data Visualization, Database Design, MySQL, Presentations, Descriptive Statistics, Extract, Transform, Load, Business Intelligence, Data Visualization Software, IBM DB2, Tableau Software, Excel Formulas, Data Analysis, Data Cleansing, Data Wrangling, Data Mining, Data Collection",/professional-certificates/bi-analyst,False,s12n~UimQ2YbKSeWCuMARGuQN0g
Generative AI for Everyone,DeepLearning.AI,4.813329792883696,3766,Beginner,Course,ONE_TO_FOUR_WEEKS,"Prompt Engineering, Generative AI, Large Language Modeling, OpenAI, ChatGPT, Artificial Intelligence, Artificial Intelligence and Machine Learning (AI/ML), Business Process Automation, Automation, Ethical Standards And Conduct, Cloud Applications",/learn/generative-ai-for-everyone,False,course~Rr-BeG1UEe6ZoQ5WeLvw3w
Generative AI Fundamentals,IBM,4.714922455362962,7673,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Prompt Engineering, Generative AI, ChatGPT, OpenAI, Data Ethics, Large Language Modeling, Leadership and Management, Business Leadership, Strategic Leadership, Business Ethics, Legal Risk, IBM Cloud, Tensorflow, Artificial Intelligence, Program Development, Artificial Neural Networks, Business Development, Deep Learning, Content Creation, Business Transformation",/specializations/generative-ai-for-everyone,False,s12n~dSxE02kGQsOqXAMX5fKCVQ
Introduction to AI,Google,4.873037542662116,1465,Beginner,Course,ONE_TO_FOUR_WEEKS,"Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning Software, Machine Learning, Innovation, Data Quality, Critical Thinking",/learn/google-introduction-to-ai,False,course~unfSix6kEfC5wQ7Ux-t3bw
IBM Full-Stack JavaScript Developer,IBM,4.578972269680641,7609,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,"Istio, Software Development Life Cycle, Node.JS, Kubernetes, Server Side, MongoDB, Application Deployment, CI/CD, Cloud-Native Computing, React Redux, NoSQL, Software Architecture, Development Environment, Restful API, Git (Version Control System), Cascading Style Sheets (CSS), Ajax, Javascript, Azure DevOps, Engineering Software",/professional-certificates/ibm-full-stack-javascript-developer,False,s12n~XZeuiy7pR5qeZeOfWIzqXg
Foundations of Cybersecurity,Google,4.853160435291765,35011,Beginner,Course,ONE_TO_FOUR_WEEKS,"Cybersecurity, Security Controls, Cyber Attacks, Security Management, Cyber Security Strategy, Incident Response, Cyber Risk, Security Information and Event Management (SIEM), Information Assurance, Data Ethics, Network Analysis, Ethical Standards And Conduct",/learn/foundations-of-cybersecurity,False,course~f6gZrWUIEe2piwrmyBNtEQ
Business and Financial Modeling,University of Pennsylvania,4.5257382460522795,11209,Beginner,Specialization,THREE_TO_SIX_MONTHS,"Risk Modeling, Financial Statements, Probability Distribution, Mathematical Modeling, Statistical Modeling, Portfolio Management, Regression Analysis, Business Modeling, Financial Modeling, Strategic Decision-Making, Risk Management, Presentations, Decision Making, Data Visualization, Microsoft PowerPoint, Predictive Modeling, Investment Management, Spreadsheet Software, Google Sheets, Microsoft Excel",/specializations/wharton-business-financial-modeling,False,s12n~kAtEJ53KEeW9ng5xPiEOCQ
Generative AI for Growth Marketing,"IBM, Starweaver",4.718369829683699,7398,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Large Language Modeling, Artificial Intelligence, Business Ethics, Content Creation, IBM Cloud, Image Analysis, Virtual Environment",/specializations/generative-ai-for-growth-marketing,False,s12n~-wDBzJNFQnOdce1HqXCRXA
Generative AI for Digital Marketing,IBM,4.718698965704954,7348,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Prompt Engineering, ChatGPT, Generative AI, Digital Advertising, Email Marketing, OpenAI, Digital Marketing, Marketing Automation, AI Personalization, Marketing Analytics, Advertising Campaigns, Marketing, Marketing Strategies, Content Creation, Keyword Research, Large Language Modeling, Social Media Marketing, Artificial Intelligence, Search Engine Optimization, IBM Cloud",/specializations/generative-ai-for-digital-marketing,False,s12n~afIdOIqTTXG1hBnSenyrQA
Generative AI for Business Analysts,"IBM, SkillUp EdTech",4.718937329700273,7340,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Prompt Engineering, ChatGPT, Generative AI, Business Analysis, Data-Driven Decision-Making, Data Analysis, OpenAI, Artificial Intelligence, Business Process Automation, Stakeholder Communications, Business Requirements, Requirements Elicitation, Large Language Modeling, Program Development, Workflow Management, Business Strategy, Process Optimization, Content Creation, IBM Cloud, Image Analysis",/specializations/generative-ai-for-business-analysts,False,s12n~b5ZhttC7S3Gby0HOT1xddw
Generative AI for Educators,IBM,4.718995098039216,7344,Beginner,Specialization,ONE_TO_THREE_MONTHS,"Prompt Engineering, ChatGPT, Generative AI, AI Personalization, Data Ethics, OpenAI, Education Software and Technology, Large Language Modeling, Artificial Intelligence, Program Development, Ethical Standards And Conduct, Content Creation, Information Privacy, IBM Cloud, Image Analysis, Emerging Technologies, Virtual Environment, Diversity Awareness, Data Security",/specializations/generative-ai-educators,False,s12n~ETT-SfOeS0u4duHSxRMgkw
